lang,key,labse_score,cometkiwi_score,avg_score,fr,en,translation,back_translate,overlap
ms,game:game.gapDetection.gapThreshold,0.14,0.358,0.249,Seuil de détection,Gap Threshold,Ambang Jurang,brink of the abyss,0.00
te,home:home.onboarding.introTitle,0.128,0.371,0.2495,Bienvenue sur NeuroDual,Welcome to NeuroDual,తయారీలో అభిజ్ఞా శిక్షణ అట్లాస్,atlas of cognitive training in manufacturing,0.00
fa,game:game.cogTask.tapTheOddOne,0.257,0.281,0.269,Touchez l'intrus,Tap the odd one out,موردی که فرق داره رو بزن,click the item that is different,0.20
sw,game:game.beadsTask.title,0.207,0.35,0.27849999999999997,Tâche des perles,Beads Task,Kazi ya Shanga,beadwork,0.00
sw,settings:settings.gameMode.beadsTask,0.207,0.35,0.27849999999999997,Tâche des perles,Beads Task,Kazi ya Shanga,beadwork,0.00
ur,game:game.beadsTask.title,0.286,0.279,0.2825,Tâche des perles,Beads Task,مهمة دانے,important data,0.00
ur,settings:settings.gameMode.beadsTask,0.286,0.279,0.2825,Tâche des perles,Beads Task,مهمة دانے,important data,0.00
uk,home:home.onboarding.introTitle,0.125,0.441,0.28300000000000003,Bienvenue sur NeuroDual,Welcome to NeuroDual,Когнітивний тренувальний атлас у процесі створення,cognitive training atlas in the process of creation,0.00
ur,settings:settings.modeSections.corsi.base.subtitle,0.223,0.347,0.285,Empan et direction,Span and direction,مدت وسمت,duration and duration,0.33
ur,settings:settings.modeSections.digitSpan.base.subtitle,0.244,0.326,0.28500000000000003,Empan et essais,Span and trials,مدت وٹرائلز,period vitriols,0.00
cs,settings:settings.gameMode.tierIncontournable,0.234,0.356,0.295,Incontournables,Must-haves,Musíte mít,you must have,0.00
ur,game:game.soundSweeps.upAccuracy,0.288,0.303,0.2955,Précision montant,Up accuracy,درستگی الأصوات الصاعدة,correctness of sound,0.00
no,settings:settings.gameMode.judgmentOfRecency,0.207,0.392,0.2995,Jugement de récence,Judgment of Recency,Nylig dom,recent judgment,0.33
no,game:game.judgmentOfRecency.title,0.207,0.392,0.2995,Jugement de récence,Judgment of Recency,Nylig dom,recent judgment,0.33
ur,settings:settings.gameMode.categoryWorkingMemory,0.23,0.372,0.301,Mémoire de travail,Working Memory,الیادداشت العاملة الفئوية,al-yadadash al-fawiya,0.00
ru,game:game.bart.overallAvgPumps,0.294,0.31,0.302,Pompes moy. globales,Overall avg pumps,Среднее всех нажатий,average of all clicks,0.00
ms,game:game.ambiguousFigures.meanSwitches,0.291,0.315,0.303,Basculements moyens,Mean Switches,Suis Min,switch min,0.00
id,game:game.anagram.avgSolve,0.313,0.295,0.304,Résolution moy.,Avg. solve,Rata-rata memecahkan,average solves,0.00
ru,game:game.bart.adjustedAvgPumps,0.305,0.305,0.305,Pompes moy. ajustées,Adjusted avg pumps,Корр. среднее нажатий,corr. average clicks,0.00
ur,game:game.bart.overallAvgPumps,0.341,0.269,0.30500000000000005,Pompes moy. globales,Overall avg pumps,اوسط النفخ الکل,average breathability,0.00
ur,game:game.bart.adjustedAvgPumps,0.289,0.324,0.3065,Pompes moy. ajustées,Adjusted avg pumps,اوسط ضخات مُعدل,average pumping rate,0.00
