lang,key,labse_score,cometkiwi_score,avg_score,fr,translation
ms,game:game.gapDetection.gapThreshold,0.14,0.358,0.249,Seuil de détection,Ambang Jurang
te,home:home.onboarding.introTitle,0.128,0.371,0.2495,Bienvenue sur NeuroDual,తయారీలో అభిజ్ఞా శిక్షణ అట్లాస్
tl,game:game.timePromem.totalPmPresses,0.187,0.324,0.2555,Total appuis prospectifs,Kabuuang PM Press
id,game:game.gapDetection.gapThreshold,0.197,0.322,0.2595,Seuil de détection,Ambang Batas Kesenjangan
km,game:game.temporalBisection.curveSteepness,0.237,0.286,0.26149999999999995,Pente de la courbe,ភាពចោត
da,settings:settings.dyslatéralisation.mirrorAxisLabel,0.151,0.374,0.2625,Axe de symétrie,Spejlakse
no,settings:settings.dyslatéralisation.mirrorAxisLabel,0.123,0.409,0.266,Axe de symétrie,Speilakse
mr,game:game.timePromem.pmHitsLabel,0.2,0.336,0.268,Réussites prospectives,पीएम मारले
sw,home:home.synergy.reportHeadlineGood,0.183,0.353,0.268,Bonne boucle Synergie,Kitanzi cha Harambee Mango
fi,badges:badges.streak_30.name,0.19,0.346,0.268,Discipline de Fer,Rautakuri
fi,game:game.contourIntegration.thresholdJitter,0.205,0.333,0.269,Jitter au seuil,Kynnysvärinä
ur,stats:stats.unifiedReport.hybridJourneyMessages.stayDecisionTitle,0.172,0.366,0.269,Niveau conserve,لیول مُحتفَظ به
fa,game:game.cogTask.tapTheOddOne,0.257,0.281,0.269,Touchez l'intrus,موردی که فرق داره رو بزن
fi,game:game.phonemeDiscrimination.freqThreshold,0.193,0.349,0.271,Seuil de fréquence,Taaj. Kynnys
sw,game:game.beadsTask.title,0.207,0.35,0.27849999999999997,Tâche des perles,Kazi ya Shanga
zh,settings:settings.gameMode.vernierAcuity,0.242,0.315,0.27849999999999997,Acuité de Vernier,游标视力
sw,settings:settings.gameMode.beadsTask,0.207,0.35,0.27849999999999997,Tâche des perles,Kazi ya Shanga
zh,game:game.vernierAcuity.title,0.242,0.315,0.27849999999999997,Acuité de Vernier,游标视力
da,game:game.timePromem.pmHitsLabel,0.212,0.351,0.2815,Réussites prospectives,PM rammer
sw,settings:settings.gameMode.artificialGrammar,0.217,0.347,0.282,Grammaire artificielle,Sarufi Bandia
sw,game:game.artificialGrammar.title,0.217,0.347,0.282,Grammaire artificielle,Sarufi Bandia
ur,game:game.beadsTask.title,0.286,0.279,0.2825,Tâche des perles,مهمة دانے
ur,settings:settings.gameMode.beadsTask,0.286,0.279,0.2825,Tâche des perles,مهمة دانے
uk,home:home.onboarding.introTitle,0.125,0.441,0.28300000000000003,Bienvenue sur NeuroDual,Когнітивний тренувальний атлас у процесі створення
